borrower_id,archetype,defaulted
162,prime,0
163,gig,0
164,prime,0
165,subprime,1
166,prime,0
167,subprime,1
168,prime,0
169,gig,0
170,subprime,1
171,prime,0
172,prime,1
173,gig,0
174,gig,0
175,prime,0
176,gig,1
177,subprime,1
178,gig,0
179,gig,1
180,prime,0
181,gig,0
182,prime,0
183,prime,0
184,prime,0
185,prime,0
186,prime,0
187,gig,1
188,subprime,1
189,prime,0
190,prime,0
191,subprime,1
192,subprime,1
193,subprime,1
194,gig,0
195,subprime,1
196,prime,0
197,gig,1
198,prime,0
199,prime,0
200,prime,0
201,gig,1
202,prime,0
203,gig,0
204,subprime,1
205,gig,0
206,subprime,1
207,gig,0
208,prime,0
209,gig,1
210,prime,0
211,gig,0
212,prime,0
213,prime,0
214,gig,1
215,subprime,1
216,gig,0
217,gig,1
218,prime,0
219,prime,0
220,subprime,0
221,subprime,1
222,prime,0
223,gig,1
224,prime,0
225,subprime,1
226,prime,0
227,prime,0
228,prime,0
229,prime,0
230,prime,0
231,prime,0
232,subprime,1
233,subprime,1
234,prime,0
235,gig,0
236,prime,0
237,prime,0
238,gig,0
239,gig,1
240,gig,0
241,subprime,1
242,gig,0
243,subprime,0
244,gig,1
245,prime,0
246,gig,0
247,gig,0
248,prime,1
249,gig,0
250,gig,0
251,prime,0
252,prime,0
253,prime,0
254,prime,0
255,prime,0
256,subprime,1
257,prime,0
258,subprime,1
259,gig,1
260,gig,1
261,prime,0
262,prime,0
263,subprime,1
264,subprime,1
265,prime,0
266,subprime,0
267,subprime,1
268,gig,1
269,prime,0
270,prime,0
271,gig,1
272,subprime,1
273,gig,1
274,subprime,1
275,gig,0
276,subprime,0
277,prime,0
278,subprime,1
279,prime,0
280,prime,0
281,subprime,1
282,prime,0
283,gig,0
284,prime,0
285,prime,0
286,gig,1
287,subprime,1
288,subprime,0
289,subprime,1
290,prime,0
291,gig,0
292,prime,0
293,gig,1
294,prime,0
295,gig,1
296,prime,0
297,subprime,1
298,prime,0
299,subprime,1
300,gig,1
301,prime,0
302,gig,0
303,subprime,1
304,prime,0
305,prime,0
306,subprime,1
307,subprime,1
308,gig,0
309,gig,1
310,gig,1
311,prime,0
312,subprime,1
313,subprime,1
314,subprime,1
315,prime,0
316,gig,0
317,prime,0
318,gig,1
319,prime,0
320,subprime,1
321,gig,0
322,gig,1
323,gig,0
324,prime,0
325,gig,0
326,prime,0
327,subprime,1
328,prime,0
329,gig,0
330,gig,0
331,prime,0
332,subprime,1
333,gig,0
334,gig,0
335,gig,1
336,gig,1
337,gig,0
338,prime,0
339,subprime,1
340,prime,0
341,prime,0
342,subprime,1
343,subprime,1
344,gig,0
345,gig,0
346,prime,0
347,prime,0
348,subprime,1
349,gig,1
350,subprime,1
351,gig,0
352,gig,0
353,prime,0
354,subprime,1
355,subprime,1
356,gig,0
357,gig,1
358,subprime,1
359,subprime,1
360,gig,0
361,prime,0
362,gig,1
363,subprime,1
364,subprime,1
365,subprime,1
366,subprime,1
367,gig,0
368,prime,0
369,prime,0
370,gig,0
371,gig,0
372,prime,0
373,subprime,1
374,prime,0
375,gig,1
376,prime,1
377,gig,0
378,prime,0
379,prime,0
380,prime,0
381,gig,0
382,gig,1
383,gig,0
384,gig,1
385,prime,0
386,prime,0
387,subprime,1
388,prime,0
389,gig,0
390,subprime,1
391,gig,0
392,prime,0
393,prime,0
394,gig,0
395,subprime,1
396,gig,1
397,prime,0
398,prime,0
399,prime,0
400,prime,0
401,subprime,1
402,gig,0
403,subprime,1
404,subprime,1
405,subprime,1
406,subprime,1
407,gig,0
408,gig,0
409,gig,0
410,gig,0
411,prime,0
412,prime,0
413,prime,0
414,gig,0
415,gig,1
416,gig,1
417,subprime,1
418,prime,0
419,gig,1
420,gig,0
421,subprime,1
422,gig,0
423,gig,1
424,prime,0
425,gig,0
426,prime,0
427,subprime,1
428,prime,0
429,gig,0
430,prime,0
431,prime,0
432,gig,0
433,prime,0
434,prime,0
435,subprime,1
436,prime,0
437,subprime,1
438,gig,0
439,gig,0
440,gig,1
441,prime,0
442,prime,0
443,prime,0
444,gig,0
445,gig,1
446,prime,0
447,gig,1
448,prime,0
449,gig,0
450,prime,0
451,gig,0
452,gig,1
453,gig,1
454,prime,0
455,gig,1
456,gig,0
457,prime,0
458,gig,1
459,subprime,0
460,prime,0
461,gig,1
462,gig,0
463,prime,0
464,subprime,1
465,prime,0
466,gig,1
467,prime,0
468,prime,0
469,subprime,1
470,subprime,0
471,prime,0
472,subprime,1
473,prime,0
474,prime,0
475,prime,0
476,prime,0
477,prime,0
478,gig,1
479,gig,1
480,gig,1
481,prime,1
482,gig,0
483,gig,0
484,prime,0
485,gig,1
486,prime,0
487,subprime,1
488,prime,0
489,gig,0
490,prime,0
491,gig,1
492,gig,0
493,prime,0
494,gig,1
495,prime,0
496,prime,0
497,gig,1
498,prime,0
499,gig,0
500,prime,0
501,gig,0
502,prime,0
503,gig,0
504,gig,1
505,subprime,1
506,subprime,1
507,subprime,1
508,gig,1
509,prime,0
510,prime,0
511,subprime,1
512,prime,0
513,prime,0
514,prime,1
515,prime,0
516,gig,0
517,prime,0
518,prime,0
519,gig,0
520,gig,0
521,gig,0
522,prime,0
523,gig,0
524,gig,1
525,gig,1
526,prime,0
527,gig,0
528,prime,0
529,prime,0
530,gig,1
531,gig,0
532,gig,0
533,prime,0
534,subprime,1
535,subprime,1
536,gig,0
537,prime,0
538,subprime,1
539,subprime,0
540,subprime,1
541,prime,0
542,subprime,1
543,gig,1
544,gig,1
545,gig,0
546,gig,0
547,prime,0
548,prime,0
549,prime,1
550,subprime,1
551,prime,0
552,gig,1
553,prime,0
554,subprime,0
555,subprime,0
556,subprime,1
557,prime,0
558,prime,0
559,gig,1
560,subprime,1
561,subprime,0
562,gig,0
563,gig,1
564,subprime,1
565,prime,0
566,subprime,1
567,gig,0
568,prime,0
569,gig,0
570,gig,0
571,gig,0
572,prime,0
573,gig,0
574,prime,0
575,gig,1
576,prime,0
577,subprime,1
578,prime,0
579,gig,1
580,prime,0
581,gig,0
582,prime,0
583,gig,1
584,subprime,1
585,prime,0
586,gig,1
587,gig,0
588,subprime,1
589,prime,0
590,gig,1
591,gig,0
592,subprime,1
593,prime,0
594,gig,0
595,prime,0
596,gig,1
597,prime,0
598,prime,0
599,prime,0
600,prime,0
601,prime,0
602,prime,0
603,gig,1
604,prime,0
605,prime,1
606,prime,0
607,gig,0
608,prime,0
609,subprime,1
610,prime,0
611,subprime,1
612,prime,0
613,subprime,1
614,gig,0
615,subprime,1
616,prime,0
617,gig,0
618,prime,0
619,prime,0
620,subprime,1
621,gig,1
622,prime,0
623,gig,1
624,subprime,1
625,prime,0
626,gig,1
627,prime,1
628,prime,0
629,gig,0
630,prime,0
631,gig,0
632,subprime,1
633,gig,1
634,subprime,1
635,subprime,1
636,prime,0
637,prime,0
638,gig,0
639,prime,0
640,gig,0
641,prime,0
642,gig,1
643,prime,0
644,prime,0
645,subprime,1
646,prime,0
647,gig,1
648,prime,0
649,gig,0
650,prime,0
651,prime,0
652,prime,0
653,gig,0
654,gig,0
655,prime,0
656,gig,1
657,subprime,1
658,subprime,1
659,gig,1
660,prime,0
661,prime,0
662,subprime,1
663,gig,0
664,subprime,1
665,prime,0
666,prime,1
667,prime,0
668,gig,0
669,gig,1
670,gig,1
671,subprime,1
672,prime,0
673,prime,0
674,prime,0
675,subprime,1
676,prime,0
677,prime,0
678,gig,0
679,subprime,1
680,subprime,1
681,prime,0
682,prime,0
683,prime,0
684,prime,0
685,gig,0
686,prime,0
687,gig,1
688,prime,0
689,prime,0
690,gig,0
691,subprime,1
692,gig,0
693,gig,1
694,gig,0
695,gig,1
696,prime,0
697,subprime,1
698,prime,0
699,prime,0
700,prime,0
701,gig,0
702,gig,0
703,prime,0
704,subprime,1
705,subprime,0
706,prime,0
707,prime,0
708,gig,0
709,gig,1
710,subprime,1
711,gig,0
712,gig,0
713,gig,0
714,subprime,1
715,subprime,1
716,prime,0
717,prime,0
718,gig,0
719,subprime,1
720,prime,0
721,prime,0
722,gig,0
723,prime,0
724,gig,1
725,gig,1
726,subprime,1
727,prime,0
728,gig,0
729,prime,0
730,prime,0
731,prime,0
732,prime,0
733,gig,1
734,gig,0
735,subprime,1
736,gig,1
737,prime,0
738,prime,0
739,prime,0
740,prime,0
741,gig,0
742,prime,0
743,gig,1
744,gig,1
745,prime,1
746,subprime,1
747,gig,1
748,gig,1
749,prime,0
750,subprime,1
751,prime,0
752,gig,0
753,prime,0
754,gig,0
755,gig,1
756,gig,0
757,prime,0
758,prime,0
759,subprime,1
760,prime,0
761,subprime,1
762,subprime,1
763,subprime,1
764,prime,0
765,gig,0
766,gig,1
767,gig,0
768,prime,0
769,prime,0
770,gig,1
771,subprime,1
772,gig,0
773,prime,0
774,prime,0
775,prime,0
776,prime,0
777,gig,0
778,gig,0
779,gig,0
780,prime,0
781,subprime,1
782,subprime,1
783,gig,0
784,gig,1
785,gig,0
786,subprime,0
787,subprime,1
788,gig,1
789,prime,0
790,gig,0
791,gig,0
792,prime,0
793,prime,0
794,subprime,1
795,prime,0
796,prime,0
797,gig,1
798,gig,0
799,subprime,1
800,gig,0
801,gig,1
802,prime,0
803,subprime,1
804,prime,0
805,gig,0
806,gig,1
807,gig,0
808,prime,0
809,prime,0
810,prime,0
811,prime,0
812,prime,0
813,subprime,1
814,prime,0
815,gig,1
816,gig,0
817,prime,0
818,prime,0
819,gig,0
820,prime,0
821,prime,0
822,subprime,1
823,prime,1
824,subprime,1
825,gig,0
826,prime,0
827,gig,0
828,prime,0
829,prime,0
830,gig,0
831,gig,0
832,subprime,1
833,gig,0
834,prime,0
835,gig,1
836,prime,0
837,gig,1
838,prime,0
839,prime,0
840,prime,0
841,prime,0
842,prime,0
843,subprime,1
844,prime,0
845,gig,1
846,prime,0
847,prime,0
848,prime,0
849,gig,1
850,prime,0
851,prime,0
852,subprime,1
853,gig,0
854,gig,0
855,gig,1
856,gig,0
857,gig,1
858,prime,0
859,gig,1
860,prime,0
861,prime,0
862,gig,0
863,subprime,1
864,prime,0
865,subprime,1
866,subprime,1
867,prime,1
868,prime,0
869,subprime,1
870,prime,0
871,gig,0
872,prime,0
873,subprime,1
874,subprime,1
875,prime,0
876,prime,0
877,gig,0
878,prime,0
879,subprime,1
880,prime,0
881,subprime,1
882,prime,0
883,gig,0
884,prime,0
885,gig,0
886,prime,0
887,prime,0
888,gig,0
889,subprime,1
890,subprime,1
891,gig,1
892,prime,0
893,subprime,1
894,subprime,1
895,prime,0
896,prime,0
897,prime,1
898,gig,1
899,gig,1
900,prime,0
901,prime,0
902,prime,0
903,subprime,1
904,gig,1
905,gig,0
906,prime,0
907,prime,0
908,prime,0
909,gig,0
910,gig,0
911,subprime,0
912,subprime,1
913,prime,0
914,gig,1
915,gig,0
916,prime,0
917,subprime,1
918,subprime,0
919,prime,0
920,gig,1
921,prime,0
922,gig,0
923,gig,1
924,prime,0
925,prime,0
926,prime,0
927,prime,0
928,prime,0
929,subprime,1
930,prime,0
931,prime,0
932,gig,0
933,gig,1
934,prime,0
935,prime,0
936,prime,0
937,subprime,1
938,gig,1
939,gig,1
940,prime,0
941,prime,0
942,prime,0
943,gig,0
944,gig,0
945,gig,0
946,gig,1
947,prime,0
948,gig,0
949,prime,0
950,prime,0
951,prime,0
952,prime,0
953,prime,0
954,prime,0
955,gig,1
956,gig,0
957,prime,0
958,gig,1
959,prime,0
960,prime,0
961,subprime,1
962,gig,1
963,prime,0
964,subprime,1
965,prime,0
966,subprime,1
967,prime,0
968,gig,0
969,prime,0
970,gig,1
971,prime,0
972,gig,0
973,subprime,1
974,subprime,1
975,gig,0
976,gig,1
977,gig,1
978,gig,0
979,prime,0
980,prime,0
981,prime,0
982,prime,0
983,prime,0
984,prime,0
985,prime,0
986,prime,0
987,prime,0
988,prime,0
989,prime,0
990,prime,0
991,prime,0
992,gig,0
993,prime,1
994,subprime,0
995,prime,0
996,gig,1
997,prime,0
998,prime,0
999,prime,0
1000,prime,0
1001,gig,0
1002,gig,0
1003,prime,0
1004,prime,0
1005,subprime,1
1006,gig,1
1007,subprime,1
1008,prime,0
1009,gig,0
1010,prime,0
1011,prime,0
1012,gig,0
1013,gig,0
1014,prime,0
1015,prime,0
1016,prime,0
1017,gig,0
1018,subprime,1
1019,prime,0
1020,gig,0
1021,prime,0
1022,subprime,0
1023,gig,0
1024,prime,0
1025,subprime,1
1026,prime,0
1027,gig,0
1028,gig,1
1029,prime,0
1030,gig,0
1031,subprime,1
1032,gig,1
1033,prime,0
1034,subprime,1
1035,prime,0
1036,prime,0
1037,gig,1
1038,prime,0
1039,gig,0
1040,subprime,1
1041,prime,0
1042,gig,1
1043,prime,1
1044,prime,0
1045,prime,0
1046,gig,0
1047,prime,0
1048,prime,0
1049,gig,1
1050,prime,0
1051,prime,0
1052,gig,0
1053,subprime,1
1054,gig,0
1055,prime,0
1056,prime,0
1057,prime,0
1058,gig,1
1059,gig,1
1060,gig,0
1061,prime,0
1062,gig,0
1063,prime,0
1064,subprime,1
1065,prime,0
1066,prime,0
1067,prime,1
1068,subprime,1
1069,gig,0
1070,gig,0
1071,subprime,1
1072,prime,0
1073,prime,0
1074,gig,1
1075,prime,0
1076,subprime,1
1077,subprime,1
1078,prime,0
1079,gig,0
1080,gig,0
1081,subprime,1
1082,gig,1
1083,prime,0
1084,gig,1
1085,prime,0
1086,gig,1
1087,subprime,1
1088,subprime,1
1089,prime,0
1090,prime,1
1091,prime,0
1092,prime,0
1093,gig,0
1094,gig,1
1095,prime,0
1096,prime,0
1097,prime,0
1098,gig,0
1099,gig,0
1100,prime,0
1101,subprime,1
1102,prime,0
1103,gig,1
1104,gig,1
1105,prime,0
1106,prime,0
1107,prime,0
1108,gig,1
1109,gig,0
1110,prime,0
1111,prime,1
1112,prime,0
1113,gig,0
1114,prime,0
1115,gig,0
1116,prime,0
1117,prime,0
1118,subprime,1
1119,prime,0
1120,gig,1
1121,prime,0
1122,prime,0
1123,gig,1
1124,gig,0
1125,gig,0
1126,subprime,0
1127,subprime,0
1128,prime,0
1129,prime,0
1130,prime,0
1131,gig,0
1132,subprime,1
1133,gig,0
1134,subprime,0
1135,gig,0
1136,subprime,1
1137,prime,0
1138,subprime,1
1139,subprime,1
1140,prime,0
1141,prime,0
1142,prime,0
1143,prime,1
1144,prime,0
1145,gig,0
1146,gig,1
1147,gig,0
1148,gig,0
1149,prime,1
1150,gig,1
1151,prime,0
1152,prime,0
1153,gig,0
1154,gig,0
1155,prime,0
1156,subprime,1
1157,prime,0
1158,prime,0
1159,prime,0
1160,subprime,1
1161,subprime,0
1162,gig,1
1163,prime,0
1164,gig,0
1165,prime,0
1166,prime,0
1167,gig,1
1168,gig,0
1169,gig,0
1170,prime,0
1171,prime,0
1172,gig,1
1173,prime,0
1174,prime,0
1175,gig,0
1176,gig,0
1177,subprime,1
1178,prime,0
1179,gig,1
1180,gig,0
1181,gig,1
1182,prime,0
1183,prime,0
1184,subprime,1
1185,subprime,1
1186,prime,0
1187,prime,0
1188,gig,1
1189,gig,0
1190,prime,0
1191,prime,0
1192,subprime,1
1193,gig,0
1194,gig,1
1195,prime,0
1196,gig,0
1197,prime,0
1198,prime,0
1199,gig,0
1200,prime,0
1201,subprime,1
1202,gig,0
1203,gig,0
1204,subprime,1
1205,prime,0
1206,subprime,1
1207,subprime,1
1208,gig,1
1209,prime,0
1210,subprime,1
1211,gig,0
1212,prime,0
1213,prime,0
1214,prime,0
1215,gig,1
1216,subprime,1
1217,subprime,1
1218,prime,0
1219,gig,0
1220,gig,0
1221,prime,0
1222,subprime,1
1223,prime,0
1224,prime,0
1225,subprime,1
1226,prime,0
1227,prime,1
1228,gig,0
1229,prime,0
1230,subprime,1
1231,gig,0
1232,subprime,1
1233,prime,0
1234,prime,0
1235,gig,0
1236,gig,0
1237,subprime,1
1238,gig,1
1239,subprime,1
1240,prime,0
1241,gig,0
1242,prime,0
1243,prime,0
1244,prime,0
1245,subprime,0
1246,prime,0
1247,subprime,1
1248,gig,1
1249,prime,0
1250,prime,0
1251,prime,0
1252,prime,0
1253,gig,0
1254,prime,0
1255,prime,0
1256,subprime,1
1257,prime,0
1258,prime,0
1259,gig,0
1260,prime,0
1261,prime,0
1262,prime,0
1263,prime,0
1264,gig,1
1265,gig,0
1266,subprime,1
1267,prime,1
1268,prime,0
1269,gig,0
1270,prime,0
1271,gig,0
1272,prime,0
1273,prime,0
1274,prime,0
1275,gig,0
1276,subprime,1
1277,prime,0
1278,gig,0
1279,gig,1
1280,prime,0
1281,subprime,1
1282,prime,0
1283,prime,0
1284,prime,0
1285,gig,1
1286,prime,0
1287,subprime,1
1288,prime,0
1289,gig,1
1290,gig,0
1291,subprime,1
1292,subprime,1
1293,subprime,1
1294,gig,0
1295,prime,0
1296,gig,1
1297,subprime,1
1298,gig,1
1299,prime,0
1300,subprime,1
1301,subprime,1
1302,prime,0
1303,gig,0
1304,gig,0
1305,subprime,1
1306,prime,0
1307,subprime,1
1308,prime,0
1309,prime,0
1310,subprime,1
1311,subprime,0
1312,gig,0
1313,prime,0
1314,subprime,1
1315,prime,0
1316,prime,0
1317,subprime,1
1318,gig,1
1319,prime,0
1320,prime,0
1321,prime,0
1322,subprime,1
1323,subprime,1
1324,subprime,1
1325,prime,0
1326,prime,0
1327,gig,1
1328,subprime,1
1329,subprime,1
1330,prime,0
1331,prime,0
1332,prime,0
1333,subprime,1
1334,prime,0
1335,subprime,1
1336,gig,1
1337,subprime,1
1338,gig,0
1339,subprime,1
1340,prime,0
1341,prime,0
1342,subprime,1
1343,prime,0
1344,gig,1
1345,gig,0
1346,prime,0
1347,subprime,1
1348,prime,0
1349,gig,0
1350,gig,0
1351,prime,0
1352,subprime,1
1353,subprime,1
1354,subprime,1
1355,subprime,1
1356,gig,0
1357,prime,0
1358,subprime,1
1359,gig,1
1360,subprime,1
1361,subprime,1
1362,gig,0
1363,subprime,1
1364,prime,0
1365,subprime,1
1366,prime,0
1367,prime,0
1368,subprime,1
1369,gig,1
1370,gig,0
1371,prime,0
1372,prime,0
1373,prime,0
1374,prime,0
1375,gig,0
1376,prime,0
1377,subprime,1
1378,gig,0
1379,gig,0
1380,prime,0
1381,prime,0
1382,gig,1
1383,prime,0
1384,subprime,1
1385,prime,0
1386,subprime,0
1387,prime,0
1388,subprime,1
1389,prime,0
1390,gig,0
1391,prime,0
1392,gig,0
1393,prime,0
1394,gig,1
1395,prime,0
1396,gig,0
1397,gig,1
1398,prime,0
1399,gig,1
1400,prime,0
1401,gig,0
1402,prime,0
1403,gig,0
1404,subprime,1
1405,subprime,1
1406,gig,1
1407,prime,0
1408,prime,0
1409,prime,0
1410,subprime,1
1411,gig,1
1412,prime,0
1413,prime,0
1414,subprime,1
1415,gig,0
1416,gig,0
1417,prime,0
1418,gig,0
1419,subprime,1
1420,subprime,0
1421,prime,0
1422,prime,0
1423,prime,0
1424,prime,0
1425,subprime,1
1426,gig,1
1427,prime,0
1428,gig,1
1429,gig,0
1430,gig,1
1431,gig,1
1432,subprime,1
1433,subprime,1
1434,subprime,1
1435,subprime,1
1436,prime,0
1437,prime,0
1438,prime,0
1439,prime,0
1440,gig,1
1441,prime,0
1442,prime,0
1443,gig,0
1444,gig,0
1445,prime,0
1446,prime,0
1447,prime,0
1448,gig,1
1449,prime,0
1450,prime,0
1451,prime,0
1452,prime,0
1453,gig,1
1454,subprime,1
1455,prime,0
1456,prime,0
1457,gig,1
1458,gig,0
1459,gig,1
1460,subprime,0
1461,subprime,1
1462,prime,0
1463,prime,0
1464,prime,0
1465,gig,1
1466,gig,1
1467,gig,1
1468,gig,0
1469,prime,0
1470,prime,0
1471,prime,0
1472,subprime,1
1473,gig,0
1474,prime,0
1475,prime,0
1476,subprime,1
1477,prime,0
1478,subprime,1
1479,prime,1
1480,prime,0
1481,prime,0
1482,gig,1
1483,prime,0
1484,prime,0
1485,prime,0
1486,gig,1
1487,prime,0
1488,prime,0
1489,gig,0
1490,gig,0
1491,prime,1
1492,prime,0
1493,prime,1
1494,prime,1
1495,gig,1
1496,gig,1
1497,prime,0
1498,subprime,1
1499,prime,0
1500,subprime,1
1501,gig,1
1502,gig,1
1503,gig,0
1504,prime,0
1505,prime,0
1506,prime,0
1507,gig,1
1508,gig,0
1509,prime,0
1510,gig,1
1511,gig,0
1512,prime,0
1513,prime,0
1514,subprime,1
1515,prime,0
1516,prime,0
1517,prime,0
1518,gig,0
1519,prime,0
1520,prime,0
1521,prime,0
1522,subprime,1
1523,gig,1
1524,prime,0
1525,prime,0
1526,subprime,1
1527,gig,0
1528,gig,0
1529,prime,0
1530,prime,0
1531,gig,1
1532,subprime,1
1533,subprime,1
1534,prime,0
1535,prime,1
1536,prime,0
1537,prime,0
1538,gig,0
1539,prime,0
1540,prime,0
1541,prime,0
1542,prime,0
1543,subprime,1
1544,prime,0
1545,prime,0
1546,subprime,1
1547,gig,0
1548,prime,0
1549,prime,0
1550,subprime,1
1551,prime,0
1552,subprime,1
1553,gig,0
1554,prime,0
1555,subprime,0
1556,prime,0
1557,gig,0
1558,gig,1
1559,gig,0
1560,gig,1
1561,gig,0
1562,subprime,0
1563,prime,0
1564,prime,0
1565,prime,0
1566,subprime,1
1567,subprime,1
1568,gig,0
1569,subprime,1
1570,prime,0
1571,gig,0
1572,prime,0
1573,subprime,1
1574,prime,0
1575,gig,0
1576,subprime,1
1577,subprime,1
1578,prime,0
1579,subprime,1
1580,prime,0
1581,subprime,1
1582,gig,0
1583,prime,0
1584,gig,0
1585,subprime,1
1586,gig,0
1587,prime,0
1588,prime,0
1589,subprime,1
1590,subprime,1
1591,prime,0
1592,gig,1
1593,prime,0
1594,prime,0
1595,gig,0
1596,prime,0
1597,gig,0
1598,subprime,1
1599,prime,0
1600,gig,1
1601,gig,1
1602,gig,1
1603,prime,0
1604,prime,1
1605,subprime,1
1606,subprime,1
1607,prime,1
1608,subprime,1
1609,gig,1
1610,prime,0
1611,prime,0
1612,gig,1
1613,prime,0
1614,gig,1
1615,prime,0
1616,subprime,1
1617,gig,0
1618,gig,0
1619,gig,0
1620,gig,1
1621,subprime,1
1622,gig,0
1623,prime,0
1624,prime,1
1625,prime,0
1626,gig,1
1627,prime,0
1628,prime,0
1629,subprime,1
1630,subprime,1
1631,prime,0
1632,gig,0
1633,gig,1
1634,gig,0
1635,subprime,1
1636,subprime,1
1637,gig,0
1638,subprime,0
1639,prime,0
1640,prime,0
1641,subprime,1
1642,subprime,1
1643,subprime,1
1644,subprime,1
1645,gig,1
1646,gig,0
1647,subprime,1
1648,gig,0
1649,subprime,1
1650,subprime,0
1651,gig,0
1652,prime,0
1653,gig,1
1654,prime,0
1655,gig,0
1656,prime,0
1657,gig,1
1658,prime,0
1659,subprime,1
1660,prime,1
1661,subprime,1
1662,gig,0
1663,prime,0
1664,prime,0
1665,prime,0
1666,prime,0
1667,prime,0
1668,subprime,1
1669,prime,0
1670,prime,0
1671,gig,1
1672,prime,0
1673,gig,1
1674,subprime,1
1675,subprime,1
1676,gig,0
1677,gig,1
1678,gig,0
1679,prime,0
1680,prime,1
1681,subprime,1
1682,subprime,1
1683,prime,0
1684,gig,1
1685,prime,0
1686,gig,0
1687,prime,0
1688,prime,0
1689,gig,0
1690,prime,0
1691,prime,0
1692,subprime,1
1693,subprime,1
1694,prime,0
1695,gig,0
1696,prime,0
1697,gig,0
1698,prime,0
1699,prime,0
1700,prime,0
1701,gig,1
1702,gig,1
1703,gig,1
1704,gig,1
1705,gig,0
1706,prime,0
1707,gig,1
1708,prime,0
1709,prime,0
1710,gig,0
1711,prime,0
1712,gig,0
1713,gig,0
1714,prime,0
1715,prime,0
1716,gig,0
1717,gig,1
1718,gig,0
1719,prime,0
1720,subprime,1
1721,prime,0
1722,gig,1
1723,gig,0
1724,gig,1
1725,prime,0
1726,subprime,1
1727,gig,0
1728,subprime,1
1729,prime,0
1730,gig,1
1731,gig,0
1732,subprime,1
1733,subprime,1
1734,gig,0
1735,prime,0
1736,gig,0
1737,gig,0
1738,prime,0
1739,gig,0
1740,prime,0
1741,prime,0
1742,prime,0
1743,gig,1
1744,prime,0
1745,prime,0
1746,prime,0
1747,prime,0
1748,prime,0
1749,gig,1
1750,subprime,1
1751,prime,0
1752,prime,0
1753,prime,1
1754,gig,0
1755,gig,1
1756,prime,0
1757,prime,0
1758,subprime,1
1759,prime,0
1760,gig,0
1761,subprime,1
1762,prime,0
1763,prime,0
1764,gig,0
1765,subprime,1
1766,gig,0
1767,prime,0
1768,prime,0
1769,gig,1
1770,gig,0
1771,subprime,1
1772,gig,0
1773,prime,0
1774,prime,0
1775,prime,1
1776,prime,0
1777,gig,0
1778,gig,1
1779,subprime,1
1780,subprime,1
1781,gig,0
1782,prime,0
1783,gig,0
1784,gig,0
1785,gig,0
1786,prime,0
1787,gig,1
1788,prime,0
1789,prime,0
1790,prime,0
1791,prime,0
1792,prime,0
1793,subprime,1
1794,gig,0
1795,prime,0
1796,prime,0
1797,prime,0
1798,prime,0
1799,gig,0
1800,gig,1
1801,prime,0
1802,gig,0
1803,gig,1
1804,gig,0
1805,gig,0
1806,gig,1
1807,gig,1
1808,gig,0
1809,gig,0
1810,prime,0
1811,gig,1
1812,prime,0
1813,prime,0
1814,prime,0
1815,gig,0
1816,prime,0
1817,prime,0
1818,prime,0
1819,prime,0
1820,subprime,1
1821,subprime,1
1822,prime,0
1823,gig,0
1824,prime,0
